STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED,LAT,LON
Connecticut,Bridgeport,CT Submission Grappling,connecticutsubmissiongrappling,,12:00PM,y,,41.187393,-73.195757
Massachusetts,Worcester,Worcester Martial Arts Academy,worcester_martial_arts_academy,,,,,42.269478,-71.807783
Connecticut,Madison,Black Wolf Shoreline,blackwolfmartialarts_shoreline,,,,,41.344479,-72.624543
New Hampshire,Concord,Averill's Martial Arts Academy,averills_martial_arts_academy,,,,,43.232493,-71.561252
Massachusetts,Webster,Team Link BJJ and MMA,teamlinkbjjandmmawebster,,,,,42.047075,-71.845805
Rhode Island,Providence,Tim Burrill BJJ,timburrillbrazilianjiujitsu,,,,,41.823056,-71.418784
Connecticut,Manchester,FlowState Fighting & Fitness,flowstatefightingandfitness,9:00AM,,y,,41.77524,-72.524434
New Hampshire,Brentwood,Dark Arts Jiu Jitsu Brentwood,darkartsjiujitsu_brentwood,11:00AM,,,,42.983723,-71.053998
Massachusetts,Framingham,Alliance Jiu Jitsu Framingham,alliancejiujitsuframingham,,,,,42.307905,-71.436196
Connecticut,East Hartford,Silverback Training Facility,silverbacktrainingfacility,,,,,41.760695,-72.607646
Massachusetts,Clinton,Alchemy Brazilian Jiu-Jitsu,alchemy_brazilian_jiujitsu,,10:00AM,,,42.411887,-71.690005
Massachusetts,Hyannis,Hyannis Mixed Martial Arts,hyannis_mixed_martial_arts,,,,,41.661478,-70.356951
Maine,Ellsworth,Acadia Brazilian Jiu-Jitsu,acadia_brazilian_jiu_jitsu,8:30AM,,,,44.58293,-68.480094
Connecticut,Bridgeport,Marcelo Garcia JJ,bridgeport_marcelogarciajj,,11:00AM,,,41.187393,-73.195757
Massachusetts,Westwood,The Lab Jiu-Jitsu,the_lab_jiu_jitsu_westwood,11:00AM,11:00AM,,,42.219645,-71.216768
New Hampshire,Swanzey,Monadnock BJJ,monadnockbrazilianjiujitsu,11:00AM,,,,42.858271,-72.29636
Massachusetts,Norwood,Connor’s Martial Arts Academy,connorsmartialartsacademy,,,,,42.187364,-71.195971
Vermont,Williston,Rodrigo Medeiros BJJ,bjjrevolutionteamofficial,,,,,44.429166,-73.09631
Massachusetts,Watertown,Theodorou Academy of Jiu Jitsu,theodorouacademyjiujitsu,,,,,42.369451,-71.177925
Vermont,South Burlington,High Hat Brazilian Jiu-Jitsu,highhatbrazilianjiujitsu,,11:00AM,,,44.436469,-73.182623
Vermont,Burlington,Green Mountain Martial Arts,greenmountainmartialarts,,,,,44.491927,-73.238882
Connecticut,Greenwich,Greenwich Jiu Jitsu Academy,greenwichjiujitsuacademy,,,,,41.045366,-73.634018
Massachusetts,Melrose,Nirvana Brazilian Jiu Jitsu,nirvanabrazilianjiujitsu,,,,,42.455723,-71.059019
Massachusetts,Arlington,Boston Submission Fighting,bostonsubmissionfighting,11:00AM,10:00AM,y,,42.418722,-71.163912
Connecticut,New London,Whaling City Athletic Club,whalingcity.athleticclub,7:00AM,,,,41.332957,-72.096176
Massachusetts,Fall River,Regiment Training Center,regiment_training_center,,10:00AM,,,41.725351,-71.094162
Vermont,Essex Junction,Gracie Jiu Jitsu Vermont,gracie_jiu_jitsu_vermont,11:00AM,,,,44.490288,-73.114121
Massachusetts,Danvers,20000 Leagues Jiu Jitsu,20000_leagues_jiu_jitsu_,8:00AM,,,,42.574174,-70.950516
New Hampshire,Manchester,Gracie Jiu-Jitsu,graciejiujitsumanchester,,,,,42.984941,-71.444131
Rhode Island,Cranston,Balleto Advanced Training,balletoadvancedtraining,,,,,41.769734,-71.485049
Massachusetts,Medford,Sigma Martial Arts and Fitness,sigmamartialartsfitness,,,,,42.423844,-71.109231
Massachusetts,Springfield,Springfield Submission Society,springfieldmabjjsociety,,,,,42.115454,-72.539978
Massachusetts,Bedford,Bernardo Faria BJJ Academy,bernardofariabjjacademy,1:00PM,11:30AM,,,42.499332,-71.281901
Massachusetts,New Bedford,South Coast Self Defense,southcoastselfdefensema,,,,,41.661303,-70.937913
Connecticut,Wallingford,Performance Combat MMA,performance_combat_mike,,,,,41.458657,-72.804516
Massachusetts,Fairhaven,Danny Savery BJJ,dannysaverybjjfairhaven,,,,,41.633667,-70.871362
New Hampshire,Londonderry,Off Your Back Jiu Jitsu,offyourbackbjj.academy,,,,,42.879789,-71.392326
Rhode Island,Pawtucket,Tri Force Training Center,triforcetrainingcenter,,,,,41.874824,-71.373323
Massachusetts,Beverly,Invictus Training Center,invictustrainingcenter,11:00AM,10:00AM,,,42.556659,-70.84496
Massachusetts,Westborough,Integrated Martial Arts,integrated_martialarts,1:00PM,,,,42.268426,-71.613309
Maine,Sanford,Clandestine Submissions,clandestinesubmissions,,,,,43.424142,-70.757859
Massachusetts,Manchester,Checkmate Martial Arts,checkmate_martial_arts,,,,,42.269728,-72.934495
Massachusetts,Tewksbury,Daniel Gracie Academy,danielgracienorthshore,,,,,42.612088,-71.227845
Massachusetts,Somerset,Danny Savery BJJ,dannysaverybjjsomerset,,,,,41.738483,-71.165053
Maine,Biddeford,Team Moreira,team_moreira_biddeford,,,,,43.438733,-70.392943
New Hampshire,Derry,Primal Jiu Jitsu,primaljiujitsuacademy,10:00AM,,,,42.887613,-71.282047
Massachusetts,Boston,Travis Stevens Academy,travisstevensjiujitsu,,,,,42.338551,-71.018253
Massachusetts,Westminster,Mantis Boxing,randybrownmantisboxer,,,,,42.5546,-71.90544
New Hampshire,Seabrook,Flow With The Go Jiu-Jitsu,flowwiththegojiujitsu,10:00AM,10:00AM,,,42.883123,-70.860823
Connecticut,West Hartford,Plus One Defense Systems,plusonedefensesystems,12:30PM,,,,41.766568,-72.754944
Massachusetts,"Swampscott, MA",New England Warrior Arts,newenglandwarriorarts,,,,,42.468059,-70.89126
Maine,Farmingdale,Team Lawton Martial Arts,teamlawtonmartialarts,,,,,44.260548,-69.827805
Connecticut,Middlebury,Campanella Martial Arts,campanellamartialarts,,,,,41.524691,-73.123016
Connecticut,Bethel,Teixeira MMA & Fitness,teixeirammaandfitness,,,,,41.369778,-73.389503
Massachusetts,North Reading,Imperium Martial Arts,imperium_martial_arts,10:30AM,10:00AM,,,42.578401,-71.084448
Massachusetts,Marlborough,Gorilla Martial Arts,gorilla_martial_arts_,11:00AM,,,,42.349617,-71.547214
Rhode Island,Bristol,Danny Savery BJJ,dannysaverybjjbristol,,,,,41.67573,-71.273331
Massachusetts,Newton,Gracie Barra,gracie_barra_jiujitsu,12:30PM,,,,42.331768,-71.2084
