EVENT,FOR,WHERE,CITY,STATE,DAY,DATE,CREATED
Seminar,Brian Glick,First Colony BJJ,Marblehead,MA,Thursday,9/25/2025,
Seminar,Mike Wacker,Black Hole Jiu Jitsu,Seymour,CT,Friday,9/26/2025,
Seminar,Christos Papadelos,Lauzon MMA,Canton,MA,Sunday,9/28/2025,
Seminar,Rigor Monteiro de Oliveira,TMC Danbury BJJ,Danbury,CT,Wednesday,10/01/2025,
Seminar,Rigor Monteiro de Oliveira,TMC Danbury BJJ,Danbury,CT,Thursday,10/02/2025,
Seminar,Leandro “Tatu” Escobar,Underdog MMA,W. Hartford,CT,Thursday,10/02/2025,
Seminar,Mayara Custodio,Gracie Barra,S. Portland,ME,Friday,10/03/2025,
Seminar,Sean Rubchinuk,FCF MMA,Brunswick,ME,Saturday,10/04/2025,
Seminar,Keith Charest,Clandestine Submissions,Sanford,ME,Saturday,10/04/2025,
Seminar,Mayara Custodio,Gracie Barra,Braintree,MA,Saturday,10/04/2025,
Open House,1 Year Anniversary,SBG East Coast,Dartmouth,MA,Saturday,10/04/2025,
Women's Only,Women’s Only Open Mat,Radius Martial Arts,Fairfield,CT,Sunday,10/05/2025,
Seminar,Anthony “Scissorhands” Edwards,Atlas JiuJitsu,Waltham,MA,Monday,10/06/2025,
Charity Event,Roll - A - Thon for Tanner Lamagna,New England Top Team,Salem,NH,Friday,10/10/2025,
Workshop,The Art of the Choke,Danny Savery,Bristol,RI,Saturday,10/11/2025,
Women's Only,Women’s Only Open Mat,Fenix BJJ,Woburn,MA,Saturday,10/11/2025,
Women's Only,Self Defense - Fernanda Araujo,Defensive Edge MMA,Wakefield,MA,Saturday,10/11/2025,
Seminar,Rafael Formiga,Dedeco,Weymouth,MA,Saturday,10/11/2025,
Seminar,Jansen Gomes,Alexey BJJ,Westbrook,ME,Saturday,10/11/2025,
Comp,Grappling Industries,,Hanover,MA,Saturday,10/11/2025,
Seminar,Aaron Hughes,South Coast Muay Thai,New Bedford,MA,Sunday,10/12/2025,
Seminar,Christos Papadelos,Mom’s Basement MMA,Mattapoisett,MA,Sunday,10/12/2025,
Open Mat,Fight Club Vol XV,Iron Lion Team,Bridgeport,CT,Sunday,10/12/2025,
Women's Only,Alana Norton - No Gi Class,Z Team Jiu Jitsu,Fitchburg,MA,Tuesday,10/14/2025,
Women's Only,Self Defense - Fernanda Araujo,Defensive Edge MMA,Wakefield,MA,Saturday,10/18/2025,
Women's Only,Women’s Only Open Mat,Nostros MMA,Somersworth,NH,Saturday,10/18/2025,
Seminar,Keith Krikorian,Broadway Jiu Jitsu,Boston,MA,Saturday,10/18/2025,
Seminar,Marne Chiccarelli,Blue Collar Jiu Jitsu,Mendon,MA,Saturday,10/18/2025,
Open House,Valle BJJ - 3 Year Anniversary,Valle JiuJitsu,Londonderry,NH,Saturday,10/18/2025,
Comp (Invite),CS/R Tournament,,Mansfield,MA,Saturday,10/18/2025,
Seminar,Keith Krikorian,Ironhold Jiu Jitsu,Agawam,MA,Sunday,10/19/2025,
Seminar,Fellipe Andrew,Binda Jiu Jitsu,Haverhill,MA,Monday,10/20/2025,
