EVENT,FOR,WHERE,CITY,STATE,DAY,DATE,CREATED
Seminar,Brian Glick,First Colony BJJ,Marblehead,Massachusetts,Thursday,9/25/2025,
Seminar,Mike Wacker,Black Hole Jiu Jitsu,Seymour,Connecticut,Friday,9/26/2025,
Seminar,Christos Papadelos,Lauzon MMA,Canton,Massachusetts,Sunday,9/28/2025,
Seminar,Rigor Monteiro de Oliveira,TMC Danbury BJJ,Danbury,Connecticut,Wednesday,10/01/2025,
Seminar,Rigor Monteiro de Oliveira,TMC Danbury BJJ,Danbury,Connecticut,Thursday,10/02/2025,
Seminar,Leandro “Tatu” Escobar,Underdog MMA,W. Hartford,Connecticut,Thursday,10/02/2025,
Seminar,Mayara Custodio,Gracie Barra,S. Portland,Maine,Friday,10/03/2025,
Seminar,Sean Rubchinuk,FCF MMA,Brunswick,Maine,Saturday,10/04/2025,
Seminar,Keith Charest,Clandestine Submissions,Sanford,Maine,Saturday,10/04/2025,
Seminar,Mayara Custodio,Gracie Barra,Braintree,Massachusetts,Saturday,10/04/2025,
Open House,1 Year Anniversary,SBG East Coast,Dartmouth,Massachusetts,Saturday,10/04/2025,
Women's Only,Women’s Only Open Mat,Radius Martial Arts,Fairfield,Connecticut,Sunday,10/05/2025,
Seminar,Anthony “Scissorhands” Edwards,Atlas JiuJitsu,Waltham,Massachusetts,Monday,10/06/2025,
Charity Event,Roll - A - Thon for Tanner Lamagna,New England Top Team,Salem,New Hampshire,Friday,10/10/2025,
Workshop,The Art of the Choke,Danny Savery,Bristol,Rhode Island,Saturday,10/11/2025,
Women's Only,Women’s Only Open Mat,Fenix BJJ,Woburn,Massachusetts,Saturday,10/11/2025,
Women's Only,Self Defense - Fernanda Araujo,Defensive Edge MMA,Wakefield,Massachusetts,Saturday,10/11/2025,
Seminar,Rafael Formiga,Dedeco,Weymouth,Massachusetts,Saturday,10/11/2025,
Seminar,Jansen Gomes,Alexey BJJ,Westbrook,Maine,Saturday,10/11/2025,
Comp,Grappling Industries,,Hanover,Massachusetts,Saturday,10/11/2025,
Seminar,Aaron Hughes,South Coast Muay Thai,New Bedford,Massachusetts,Sunday,10/12/2025,
Seminar,Christos Papadelos,Mom’s Basement MMA,Mattapoisett,Massachusetts,Sunday,10/12/2025,
Open Mat,Fight Club Vol XV,Iron Lion Team,Bridgeport,Connecticut,Sunday,10/12/2025,
Women's Only,Alana Norton - No Gi Class,Z Team Jiu Jitsu,Fitchburg,Massachusetts,Tuesday,10/14/2025,
Women's Only,Self Defense - Fernanda Araujo,Defensive Edge MMA,Wakefield,Massachusetts,Saturday,10/18/2025,
Women's Only,Women’s Only Open Mat,Nostros MMA,Somersworth,New Hampshire,Saturday,10/18/2025,
Seminar,Keith Krikorian,Broadway Jiu Jitsu,Boston,Massachusetts,Saturday,10/18/2025,
Seminar,Marne Chiccarelli,Blue Collar Jiu Jitsu,Mendon,Massachusetts,Saturday,10/18/2025,
Open House,Valle BJJ - 3 Year Anniversary,Valle JiuJitsu,Londonderry,New Hampshire,Saturday,10/18/2025,
Comp (Invite),CS/R Tournament,,Mansfield,Massachusetts,Saturday,10/18/2025,
Seminar,Keith Krikorian,Ironhold Jiu Jitsu,Agawam,Massachusetts,Sunday,10/19/2025,
Seminar,Fellipe Andrew,Binda Jiu Jitsu,Haverhill,Massachusetts,Monday,10/20/2025,
Seminar,Leticia Cardozo,Binda Jiu Jitsu,Haverhill,Massachusetts,Tuesday,10/21/2025,
Seminar,Charles Harriott,Team Lawton Martial Arts,Farmingdale,Maine,Wednesday,10/22/2025,
Kids Event,Haunted House,Newport Martial Arts,Newport,Rhode Island,Friday,10/24/2025,
Kids Event,Ghostly Grapplers Halloween Party,Renzo Gracie Academy,Milford,Connecticut,Friday,10/24/2025,
Women's Only,Mayara Custodio - Seminar,Gracie Barra,Braintree,Massachusetts,Saturday,10/25/2025,
Seminar,Darkside Jiu Jitsu,Virtue Martial Arts,Waltham,Massachusetts,Saturday,10/25/2025,
Seminar,Rory Connors,Connors Martial Arts Academy,Norwood,Massachusetts,Saturday,10/25/2025,
Seminar,Catch Wrestling - Joel Bane,Snake Pit USA MMA,Billerica,Massachusetts,Saturday,10/25/2025,
Seminar,Paulinho - Kids Seminar,Gentle Art Dojo,Chelmsford,Massachusetts,Saturday,10/25/2025,
Seminar,Aaron Tiegs,Mission First BJJ,Middletown,Rhode Island,Saturday,10/25/2025,
Seminar,Mike Pellegrino,Acadia Brazilian Jiu Jitsu,Ellsworth,Maine,Saturday,10/25/2025,
Comp,Fuji BJJ State Championship,,Middletown,Connecticut,Saturday,10/25/2025,
Workshop,Bulletproof Your Body for BJJ,Team Forsa,Woburn,Massachusetts,Sunday,10/26/2025,
Seminar,Christos Papadelos,Daniel Gracie Academy,Plymouth,Massachusetts,Sunday,10/26/2025,
Comp,Flow Sub Only 7,,Rockland,Maine,Sunday,10/26/2025,
Comp,Charity - Arm Bars Against MS,,Waterbury,Connecticut,Sunday,10/26/2025,
Seminar,Rodrigo Castro,Gracie Gym,Windham,Maine,Wednesday,10/29/2025,
Seminar,Charles Harriott,Lauzon MMA,Canton,Massachusetts,Wednesday,10/29/2025,
Open Mat,Halloween Open Mat,Technique BJJ,Prospect,Connecticut,Wednesday,10/29/2025,
Seminar,Carlson Gracie Jr,Broadway Jiu Jitsu,Boston,Massachusetts,Friday,10/31/2025,
Seminar,Carlson Gracie Jr,Carlson Gracie RI,Westerly,Rhode Island,Saturday,11/01/2025,
Seminar,Mayara Custodio,EP Martial Arts,E. Providence,Rhode Island,Saturday,11/01/2025,
Open Mat,Spooky Sparring - Open Mat,Pajama Strangle Time,Providence,Rhode Island,Saturday,11/01/2025,
Open House,2 Year Anniversary - Party/Promo,NESF,Arlington,Massachusetts,Saturday,11/01/2025,
Grand Opening,Grand Opening,Ironhold Jiu Jitsu,Agawam,Massachusetts,Saturday,11/01/2025,
Comp (Invite),Combat Zone Ninety,,Manchester,New Hampshire,Saturday,11/01/2025,
Comp,Gaman Submission Challenge,,Trumbull,Connecticut,Saturday,11/01/2025,
Charity Event,Veterans Day Ruck & Roll,Fenix BJJ,Tewksbury,Massachusetts,Saturday,11/01/2025,
Workshop,Bulletproof Your Body for BJJ,Team Forsa,Woburn,Massachusetts,Sunday,11/02/2025,
Women's Only,Women’s Only Open Mat,Solid Base BJJ,Southington,Connecticut,Sunday,11/02/2025,
Women's Only,Women’s Only Open Mat,Radius Martial Arts,Fairfield,Connecticut,Sunday,11/02/2025,
Seminar,Carlson Gracie Jr,Carlson Gracie CT,New Haven,Connecticut,Sunday,11/02/2025,
Seminar,Mayara Custodio,Renzo Gracie Academy,Smithfield,Rhode Island,Sunday,11/02/2025,
Open Mat,Mega Mat Open Mat,Team Santos,Pawtucket,Rhode Island,Sunday,11/02/2025,
Seminar,Paulo PiuPiu Silva,Submit Your Friend Academy,Boston,Massachusetts,Wednesday,11/05/2025,
Seminar,Tommy Wales,Manchester BJJ,Manchester,Connecticut,Friday,11/07/2025,
Seminar,Nathan Eisenberg,Elements MMA,Keene,New Hampshire,Friday,11/07/2025,
Seminar,Matt Thornton,SBG East Coast,Dartmouth,Massachusetts,Saturday,11/08/2025,
Seminar,Helena Cravar,Integrated Martial Arts,Worcester,Massachusetts,Saturday,11/08/2025,
Seminar,Technique / Belt Test / Shark Tank,Plainville Martial Arts,Plainville,Connecticut,Saturday,11/08/2025,
Comp,Tap Cancer Out,,Danvers,Massachusetts,Saturday,11/08/2025,
