STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED
Connecticut,Bridgeport,Marcelo Garcia JJ,bridgeport_marcelogarciajj,,11:00AM,,
Connecticut,Bridgeport,Connecticut Submission Grappling,connecticutsubmissiongrappling,,12:00PM,y,
Connecticut,Danbury,American Top Team,attconnecticut,12:00PM,,,
Connecticut,Hamden,Soulcraft / Macarra BJJ,macarra_bjj_hamden,11:00AM,11:00AM,,
Connecticut,Norwalk,Gracie Sports BJJ,graciesportsbjj,11:30AM,,,
Connecticut,Seymour,Black Hole Jiu Jitsu,blackholejj.ct,11:00AM,6:30PM,,
Connecticut,Stamford,Summit JiuJitsu,summit.jiujitsu,11:00AM,,,
Connecticut,Tolland,Secret Pages Brazilian Jiu Jitsu,secret_pages_bjj,9:00AM,,y,
Connecticut,West Haven,Dandelion Jiujitsu & Wrestling,dandelionbjj,,9:00AM,,
Connecticut,Willington,Agoge Jiu Jitsu and Muay Thai,agogejjmt,,12:30PM,,
Massachusetts,Acton,Mass BJJ,mass_bjj,,12:00PM,,
Massachusetts,Agawam,Ironhold Jiu Jitsu,ironhold_jiujitsu_,9:30AM,,,
Massachusetts,Andover,Gracie Barra Andover,graciebarraandover,,12:00PM,,
Massachusetts,Arlington,New England Submission Fighting (Boston),nesfboston,11:00AM,10:00AM,y,
Massachusetts,Attleboro,Ronin Jiu-Jitsu,roninjiujitsu,10:00AM,10:00AM,,
Massachusetts,Bedford,Bernardo Faria BJJ Academy,bernardofariabjjacademy,1:00PM,11:30AM,,
Massachusetts,Beverly,Invictus Training Center,invictustrainingcenter,11:00AM,10:00AM,,
Massachusetts,Boston,Gracie Barra Boston,gbbostonbjj,1:00PM,,,
Massachusetts,Boston,Combat Sports Boston,combatsportsboston,,12:00PM,,
Massachusetts,Boston,Back 2 Basics Jiu Jitsu,b2basics_jiujitsu,,11:00AM,,
Massachusetts,Boston (Back Bay),Brazilian Top Team Boston,bttboston,12:00PM,,,
Massachusetts,Boston (Back Bay),Brazilian Top Team Back Bay,bttbackbay,,10:00AM,,
Massachusetts,Braintree,Gracie Barra Braintree,gbbraintree,1:00PM,,,
Massachusetts,Brighton (Boston),Submit Your Friend Academy,syfabjj,11:00AM,,,
Massachusetts,Brockton,Orion BJJ,orionbjj,,7:00PM,y,
Massachusetts,Brookline,Florian Martial Arts Center,florianmartialarts,12:00AM,,,
Massachusetts,Cambridge,Ginsberg Academy BJJ,ginsbergbjj,9:00AM,,,
Massachusetts,Clinton,Alchemy Brazilian Jiu-Jitsu,alchemy_brazilian_jiujitsu,,10:00AM,,
Massachusetts,Danvers,20000 Leagues Jiu Jitsu,20000_leagues_jiu_jitsu_,8:00AM,,,
Massachusetts,Dorchester,Empower BJJ,empowerbjjusa,11:00AM,,,
Massachusetts,East Bridgewater,IN Jiujitsu,injiujitsu,,10:00AM,y,
Massachusetts,Fall River,Regiment Training Center,regiment_training_center,,10:00AM,,
